"","Country","Detailed.production.source","Aqua.Cap.items","Mean.Trophic.Level","Taxon","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"84","Albania","Capture","Angelshark",4.1,"Marine fish",547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,20,31,30,30,16,79,1,4,68,55,12,23,14,78,12,5,5,4,4,3,0,0,0
"85","Albania","Imports","Anchovy",3.12826679093283,"Fish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2375.38,0,0,0,0,3080.58,0,0,0,0,0,0,0,0,0
"86","Albania","Imports","Anchovies Engraulis spp",3.07796794982842,"Fish",8781.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,1,0,82,13,0,337,0,95,128,512,2272,825,1314,2398,776.18
"87","Albania","Imports","Anchovies and Indian mackerels and seerfishes",3.1404766634131,"Fish",2084.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027,829,228.24
"88","Algeria","Imports,Aquaculture","Tilapia",2.1428982973174,"Fish,Freshwater fish",1537.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.79,266.45,218.3,26.37,209.01,1.95,22.66,38.6,35,35,10.36,376.97
"89","Algeria","Imports,Capture","Swordfish",4.5,"Fish,Marine fish",32702.5,368,370,320,521,650,760,870,877,884,890,847,1820,2621,590,712,562,395,562,600,807,807,807,825,709,816,1081,814,665,564,635,702,788.25,830,499.75,459,216,476.75,503,790.75,721,893.5,831.5,725,517
"90","Algeria","Imports,Capture","Skipjack tuna",4.4,"Fish,Marine fish",22329.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,171,251,244,227,46,150,142,176,127,36,0,75,0,0,0,15,0,0,0,24,14792.3,5848.986
"91","Algeria","Capture,Capture","Red porgy",3.9,"Marine fish,Marine fish",8479.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,81,58,255,254,153,267,394,283,363,365,373,916,956,796,436,455,332,213,221,189,270.77,208.66,314,255.37
"92","Algeria","Capture,Aquaculture","Mullet",2.75682774234332,"Marine fish,Freshwater fish",4761.53,0,0,0,0,0,0,0,0,22,25,30,36,32,20,19,18,8,55,50,30,26,26,12,18,25,32,34,1,1,1,9,345,407.71,299.95,358.39,700.53,496.07,282.35,349.68,195.1,210.69,216.69,182.58,186.79
"93","Algeria","Imports,Capture","Marine fish",3.32186330021302,"Fish,Marine fish",285792.5,202.66,242.64,282.32,163.98,1017.26,1347.84,273.3,2855.5,264,270,0,0,0,4083,2612,2836,1869,1912,2739.66,3921.92,3964,3799,2351,3403,9324,6010,6836.78,8313.56,244.72,289.94,98.42,6603.62,14714.26,14153.18,14607.82,16210.18,19608.88,17587.14,21675.38,22537.3,18433.98,17663.96,15224.22,15245.08
